job_role,skills
Data Scientist,Python|SQL|Machine Learning|Data Analysis|Statistics|Pandas|Visualization
DevOps Engineer,AWS|Docker|Kubernetes|CI/CD|Automation|Linux|Terraform
Backend Developer,Java|Python|SQL|APIs|Spring|Microservices|Databases
Frontend Developer,JavaScript|React|HTML|CSS|UI Design|TypeScript|Web Design
Cloud Architect,AWS|Azure|Cloud Computing|Networking|Security|Terraform|Automation
Machine Learning Engineer,Python|Machine Learning|TensorFlow|Deep Learning|Data Structures|Algorithms|Cloud Computing
Data Analyst,SQL|Excel|Data Analysis|Visualization|Statistics|Python|Reporting
QA Engineer,Testing|Automation|Selenium|Python|CI/CD|Bug Tracking|Java
Mobile Developer,Kotlin|Swift|Java|Mobile UI|APIs|Android|iOS
Cybersecurity Analyst,Security|Networking|Linux|Penetration Testing|Cryptography|Automation|Cloud Computing
Database Administrator,SQL|Databases|Backup|Performance Tuning|Security|Linux|Cloud Computing
Systems Administrator,Linux|Networking|Automation|Security|Windows Server|Scripting|Cloud Computing
Full Stack Developer,JavaScript|React|Java|Python|SQL|APIs|Node.js
UI/UX Designer,UI Design|Web Design|Figma|Prototyping|User Research|CSS|Wireframing
Product Manager,Roadmapping|Data Analysis|Communication|Agile|Prioritization|Stakeholder Management|Analytics
Site Reliability Engineer,Linux|Kubernetes|Automation|Monitoring|CI/CD|Python|Cloud Computing
